,Passengers,TravelingTime,HighRiskAreas,FontainArea,ExpansionPhase,Population,Favelas,WaterSupply,HighIncomeHolder,LiterateHouseHolder,WomanHouseHolder,PopulationDensity,ImprovisedHousing,PermanentHousing,SewageCollection,GarbageCollection,YoungManRate,Verticalization,Bars,Schools,BusStops,Clusters
C68,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,7.0
C69,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0,0.0,0.0,0.396,16.0
C70,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C71,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C72,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,0.9892,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C73,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9016816000000002,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C74,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.102384,0.0,0.0,0.0,0.396,15.0
C75,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9999999999999994,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C76,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C77,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9016816000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C78,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,1.0
C79,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,9.0
C80,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,9.0
C81,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C82,1.5580999999999998,21.6748,0.0,0.0,3.0,0.4882,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,1.0
C83,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,9.0
C84,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C85,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9999999999999994,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C86,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C87,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,0.9838,1.0,0.0979,0.0,0.0,0.0,0.396,11.0
C88,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0,0.0,0.0,0.396,1.0
C89,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C90,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0,0.0,0.0,0.396,16.0
C91,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C92,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,0.0
C93,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,0.0
C94,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,0.9838,1.0,0.0979,0.0,0.0,0.0,0.396,7.0
C95,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,19.0
C96,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,1.0
C97,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,23.0
C98,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C99,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0,0.0,0.0,0.396,1.0
C100,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0,0.0,0.0,0.396,15.0
C101,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C102,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C103,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C104,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,0.0
C105,1.5580999999999998,15.5,0.0,0.0,3.0,0.575,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,1.0
C106,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9784,1.0,0.0979,0.0152,0.0,0.0,0.396,0.0
C107,1.5580999999999998,35.3,0.0,0.0,3.0,0.4882,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,21.0
C108,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
C109,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.102384,0.0152,0.0,0.0,0.396,0.0
C110,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,19.0
C111,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C112,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,5.0
C113,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9016816000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C114,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9838,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
C115,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C116,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C117,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C118,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.8344873333333332,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,21.0
C119,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,5.0
C120,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C121,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9262612000000002,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C122,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C123,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C124,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,8.0
C125,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9892,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
C126,1.5580999999999998,21.6748,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C127,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,5.0
C128,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0,0.0,0.0,0.396,20.0
C129,1.5580999999999998,15.5,0.0,0.0,3.0,0.5770000000000001,0.0,0.6689746666666666,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C130,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,21.0
C131,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
C132,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,10.0
C133,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,20.0
C134,1.5580999999999998,27.849599999999995,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,5.0
C135,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.503462,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,0.9945999999999998,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
C136,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,0.3379493333333333,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,20.0
feature_direction,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0, -1
